val,ind0,ind1,ind2
0.53679,0.53686,0.53678,0.53679
0.53678,0.53689,0.53674,0.53678
0.53669,0.5368,0.53669,0.53678
0.53671,0.53674,0.53665,0.53669
0.53684,0.53685,0.5367,0.5367
0.53688,0.53693,0.53683,0.53684
0.53685,0.53689,0.53682,0.53689
0.53678,0.53688,0.53678,0.53685
0.53673,0.5368,0.53673,0.53679
0.53666,0.53674,0.53656,0.53674
0.53682,0.53684,0.53667,0.53667
0.53679,0.53685,0.53674,0.53684
0.53665,0.5368,0.53665,0.5368
0.53666,0.53669,0.53659,0.53666
0.53667,0.53667,0.53657,0.53662
0.53673,0.53677,0.53665,0.53667
0.53657,0.53673,0.53647,0.53673
0.53657,0.53662,0.53652,0.53657
0.5366,0.5366,0.53652,0.53657
0.53664,0.5367,0.53657,0.5366
0.53664,0.53672,0.53662,0.53665
0.53672,0.53676,0.53664,0.53664
0.53664,0.53672,0.53662,0.53672
0.53657,0.53664,0.53655,0.53663
0.53657,0.53659,0.53652,0.53657
0.53656,0.53658,0.53652,0.53657
0.53653,0.53658,0.53652,0.53656
0.53639,0.53656,0.53639,0.53653
0.53645,0.5365,0.53637,0.53639
0.53651,0.53655,0.53641,0.53645
0.53643,0.53659,0.53637,0.53653
0.5364,0.53648,0.53636,0.53644
0.5364,0.53643,0.53632,0.53641
0.53636,0.53642,0.53636,0.53642
0.53633,0.53638,0.53627,0.53636
0.53631,0.53635,0.53626,0.53634
0.53633,0.53638,0.53631,0.53631
